ZONE_NO,SUM_ECOACTIVE_TOTAL,SUM_NON_ECOACTIVE_STUDENT,SUM_NON_ECOACTIVE_HOMEMAKER,SUM_NON_ECOACTIVE_OTHER
1,128,0,0,4
2,15,1,6,0
3,104,6,23,3
4,3121,13,49,5
5,3411,26,49,9
6,3042,26,34,11
7,52,0,0,0
12,24,0,0,0
13,9725,481,1429,158
14,23866,514,955,125
15,18515,450,998,77
16,17059,337,519,47
17,6695,281,468,39
18,1702,66,124,26
19,,,,
20,625,42,34,12
21,1956,2,1,1
22,12985,837,1272,141
23,17685,968,1691,207
24,18340,1328,2083,198
25,51759,2301,3309,427
26,35808,1237,1982,168
27,31300,1269,2172,268
28,1532,245,200,27
29,4876,19,0,20
30,4738,736,520,240
31,10330,1405,1205,484
32,13205,911,1081,392
33,6381,882,1019,211
34,28556,2435,3331,682
35,7195,720,909,140
36,5352,642,825,185
37,21525,1762,2385,444
38,21888,1582,2694,344
39,24002,1795,2760,381
40,14566,1546,2124,460
41,4962,490,682,181
42,9902,955,1332,433
43,20568,2217,3002,963
44,12186,1446,1669,682
45,50365,4513,6674,1037
46,13295,1156,2159,279
47,12044,1471,1811,603
48,456,97,114,7
49,2268,8,1,11
50,1939,119,274,26
51,86915,8804,7518,2520
52,18163,1799,2134,537
53,71959,7886,8816,2209
54,24943,3760,3749,858
55,132736,17878,17963,4875
56,178988,13074,15195,3227
57,312651,359,33,521
58,218,0,1,0
60,,,,
61,4279,527,919,211
62,,,,
63,4112,578,853,261
64,2792,334,398,239
65,4399,579,716,384
66,23402,2712,4232,1354
67,6525,898,737,568
68,4684,1142,630,331
69,5147,405,863,228
70,54420,7326,5649,2010
71,103883,8932,8288,2854
72,1337,43,55,22
73,1811,151,148,47
74,65677,4669,5541,1022
75,38502,852,702,247
76,5765,77,72,29
77,1260,51,52,23
78,1711,159,129,50
79,10550,454,312,137
80,59055,1559,1517,431
81,10844,1687,1654,556
82,73529,225,173,91
83,2985,89,71,35
84,1472,61,53,29
85,3007,64,61,28
86,7460,668,612,64
90,56575,6562,8298,1888
91,86478,6416,11254,1786
92,24202,1178,1321,97
93,172,0,0,0
94,381,2,0,2
95,6437,4,4,10
96,3083,36,30,9
97,235,0,0,1
98,4,0,0,0
