Zone No.,Population above 15,Area \ Meter,x,y
1,132,459450.015625,,
2,22,471525.099609375,,
3,136,456465.1904296875,,
4,3188,400845.7734375,,
5,3495,269962.66015625,,
6,3113,349307.4990234375,,
7,52,344389.5869140625,,
12,24,3211438.44921875,,
13,11793,828058.556640625,,
14,25460,653631.908203125,,
15,20040,586270.2900390625,,
16,17962,505849.556640625,,
17,7483,486002.3076171875,,
18,1918,772996.3232421875,,
19,,5074251.5029296875,,
20,713,1614779.9921875,,
21,1960,970885.1220703125,,
22,15235,779616.146484375,,
23,20551,1426967.6240234375,,
24,21949,2044436.7734375,,
25,57796,1828955.68359375,,
26,39195,1394698.083984375,,
27,35009,1734580.55859375,,
28,2004,1153591.9423828125,,
29,4915,4235949.001953125,,
30,6234,8419765.857421875,,
31,13424,3858071.248046875,,
32,15589,2973888.1044921875,,
33,8493,3372716.0498046875,,
34,35004,3236191.7958984375,,
35,8964,1374114.7822265625,,
36,7004,2570988.79296875,,
37,26116,3091080.2216796875,,
38,26508,4317945.6630859375,,
39,28938,3364878.896484375,,
40,18696,4262934.703125,,
41,6315,1516907.625,,
42,12622,2161966.4580078125,,
43,26750,5937071.134765625,,
44,15983,3869612.5556640625,,
45,62589,5774240.2646484375,,
46,16889,4599286.3720703125,,
47,15929,3998970.1953125,,
48,674,14198310.161132812,,
49,2288,45501186.62011719,,
50,2358,9370359.44140625,,
51,105757,99370639.40820312,,
52,22633,16455091.611328125,,
53,90870,136274231.06835938,,
54,33310,22185809.029296875,,
55,173452,101114929.89648438,,
56,210484,75014228.28808594,,
57,313564,39366064.53222656,,
58,219,1002419.3427734375,,
60,,1316261.642578125,,
61,5936,4921863.7998046875,,
62,,799018.0322265625,,
63,5804,2400702.1650390625,,
64,3763,1735246.23828125,,
65,6078,2587387.7978515625,,
66,31700,31449374.684570312,,
67,8728,5198921.9365234375,,
68,6787,11986872.6875,,
69,6643,62938043.03027344,,
70,69405,307302335.00683594,,
71,123957,391590537.95703125,,
72,1457,821247266.1513672,,
73,2157,772020584.0703125,,
74,76909,462663807.6533203,,
75,40303,750820704.6171875,,
76,5943,788830834.2392578,,
77,1386,330476108.1220703,,
78,2049,531338252.3232422,,
79,11453,207769753.3701172,,
80,62562,345599120.87109375,,
81,14741,199675955.35839844,,
82,74018,551984009.46875,,
83,3180,674328847.9443359,,
84,1615,611033935.9169922,,
85,3160,520439531.2441406,,
86,8804,449019134.31347656,,
90,73323,77530216.99316406,,
91,105934,253326334.70214844,,
92,26798,136143961.16503906,,
93,172,77840976.27246094,,
94,385,618640016.2929688,,
95,6455,1102772350.1201172,,
96,3158,1156437479.890625,,
97,236,511253145.9921875,,
98,4,856399172.8486328,,
99,,3381665.4638671875,,
