ZONE_NO,SUM_GOVERNMENT,SUM_GOVERNMENT_ESTABLISHMENT_COMPAN,SUM_MIXED,SUM_PRIVATE,SUM_DIPLOMATIC_IINTERNATIONAL_REGIO,SUM_NON_PROFIT,SUM_HOUSEHOLD
1,1,1,0,124,1,0,1
2,0,0,1,13,0,0,1
3,14,4,16,68,0,0,2
4,34,12,8,3055,4,0,8
5,57,38,8,3295,1,0,12
6,36,30,3,2961,3,0,9
7,1,0,0,51,0,0,0
12,0,0,0,24,0,0,0
13,370,920,187,8108,9,8,119
14,742,361,73,22373,115,8,190
15,645,405,86,17255,18,11,89
16,391,165,60,16350,8,0,85
17,203,121,87,6246,6,1,30
18,43,26,34,1567,8,3,21
19,,,,,,,
20,44,23,6,513,0,0,39
21,10,1389,0,556,0,0,1
22,1011,1480,120,10074,90,2,197
23,1105,1190,171,14728,140,12,323
24,1185,1032,104,15441,239,11,317
25,1550,1546,366,47427,438,11,402
26,939,677,150,33734,44,7,254
27,1451,534,215,28819,102,12,163
28,82,47,18,1295,1,0,85
29,14,10,1,4840,0,0,11
30,977,218,128,1876,57,10,1462
31,1724,352,233,5658,79,12,2252
32,1236,454,101,9757,131,36,1472
33,920,601,72,4099,50,3,623
34,3038,1800,225,21500,365,34,1552
35,859,735,74,4974,130,2,405
36,601,391,112,3392,83,4,760
37,2264,2684,263,15027,179,18,1067
38,1858,1730,234,17377,196,17,443
39,2411,1098,209,18925,266,16,1056
40,1029,807,237,10663,73,13,1723
41,407,162,88,3775,6,3,513
42,630,335,197,7427,119,12,1168
43,2499,722,341,13520,83,23,3344
44,1234,554,307,8114,27,15,1891
45,2813,1389,756,43013,367,20,1955
46,1003,494,232,10352,12,5,1188
47,1314,530,309,8216,45,15,1585
48,38,31,19,362,2,0,3
49,7,7,149,2094,7,0,4
50,89,54,43,1669,0,2,78
51,12621,2925,875,54206,352,63,15722
52,1855,715,192,13186,184,17,1989
53,11299,1547,535,47289,108,52,10956
54,4111,1426,333,13975,189,15,4826
55,20552,4230,1623,81530,379,88,23955
56,13794,11834,1547,138417,553,135,12561
57,1310,507,276,310371,46,19,122
58,1,0,1,215,0,0,1
60,,,,,,,
61,902,253,160,2773,113,0,60
62,,,,,,,
63,809,348,164,2012,128,2,631
64,492,157,96,1075,10,4,947
65,896,270,191,1446,85,7,1492
66,3399,1185,898,12545,755,16,4544
67,1593,346,212,1713,79,10,2538
68,1445,250,167,1048,49,4,1677
69,807,171,126,3692,78,3,263
70,11522,1666,1160,24224,117,96,15454
71,13570,2338,1094,70689,258,84,15574
72,85,13,3,1047,0,0,189
73,365,45,18,1008,2,0,364
74,3938,1710,2984,52411,76,38,4435
75,1561,308,610,33870,9,1,2124
76,213,48,4,5324,2,0,171
77,64,5,13,1046,0,0,132
78,328,21,3,1048,2,0,302
79,931,104,24,8414,4,2,1060
80,3506,328,90,52401,12,7,2679
81,3123,436,113,4530,4,5,2581
82,269,86,67,72423,2,0,678
83,105,27,6,2655,0,0,191
84,40,15,360,975,2,0,78
85,83,9,2,2749,0,0,163
86,285,1266,35,5650,4,2,215
90,6716,2774,2070,37283,56,37,7523
91,5352,3009,1547,71966,264,287,3970
92,287,555,2085,21181,5,3,82
93,0,0,0,161,0,0,11
94,1,0,0,380,0,0,0
95,2,3,6,6380,1,0,45
96,56,9,0,2958,3,0,56
97,0,0,0,235,0,0,0
98,0,0,0,0,0,0,4
