date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,21.4,18.1,25.7,,,,13.1,,1014.9,
2020-01-02 00:00:00,21.2,19,23.2,,,,8.8,,1018.2,
2020-01-03 00:00:00,22.7,20,25.6,,,,11.1,,1017.5,
2020-01-04 00:00:00,24.4,20.6,30.1,,,,14.9,,1013.7,
2020-01-05 00:00:00,20.6,16.9,23.3,,,,22.4,,1013.5,
2020-01-06 00:00:00,19.6,17,22.8,,,,17.5,,1018.4,
2020-01-07 00:00:00,19.4,16,22.8,,,,14.4,,1020.2,
2020-01-08 00:00:00,19.8,15.6,23.7,,,,5.8,,1018,
2020-01-09 00:00:00,19.9,16.8,22.3,,,,7.3,,1014.8,
2020-01-10 00:00:00,20.5,19,21.6,,,,9.7,,1010.1,
2020-01-11 00:00:00,17.6,16.2,20.7,0,,,18.1,,1012.8,
2020-01-12 00:00:00,16.4,14.2,19,,,,19.7,,1020.2,
2020-01-13 00:00:00,16.9,13,20.5,,,,9.4,,1020.5,
2020-01-14 00:00:00,16.4,12.2,21.1,,,,13.6,,1019.1,
2020-01-15 00:00:00,18,14.5,21.9,,,,14.3,,1022.5,
2020-01-16 00:00:00,18.5,15.6,21.5,,,,7.7,,1023.9,
2020-01-17 00:00:00,18.6,15.1,22,,,,5.2,,1021.7,
2020-01-18 00:00:00,19.4,16.8,23,,,,9.7,,1018.1,
2020-01-19 00:00:00,20.4,16.5,24.3,,,,11.5,,1016.7,
2020-01-20 00:00:00,20.4,16.7,23.8,,,,15.5,,1018.1,
2020-01-21 00:00:00,19.4,17,22.7,,,,13.3,,1017.9,
2020-01-22 00:00:00,19.7,16,22.9,,,,13.8,,1016.1,
2020-01-23 00:00:00,17.8,15,20.4,,,,18.7,,1017.7,
2020-01-24 00:00:00,17.2,14.7,20.2,,,,12.3,,1020,
2020-01-25 00:00:00,17.6,12.7,22,,,,7.9,,1020.3,
2020-01-26 00:00:00,15.3,13.1,17.2,,,,23.2,,1022.3,
