product_name,category,price,date_sold,discount,quantity
Bleach,Cleaning Supplies,195.02,2025-03-03,0.06,11
Baby Wipes,Baby Products,119.3,2025-05-21,0.15,19
Trail Mix,Snacks & Sweets,159.38,2025-06-15,0.23,14
Disinfectant Spray,Cleaning Supplies,53.43,2025-06-20,0.05,12
Potato Chips,Snacks & Sweets,36.47,2025-03-28,0.06,17
Pasta,Pantry Staples,174.21,2025-05-04,0.23,10
Sunflower Oil,Pantry Staples,24.31,2025-02-21,0.01,7
Cheddar Cheese,Dairy & Eggs,40.5,2025-05-21,0.25,20
Chocolate Bar,Snacks & Sweets,78.63,2025-06-19,0.04,18
Liquid Detergent,Cleaning Supplies,160.39,2025-06-05,0.25,14
Toothpaste,Personal Care,56.7,2025-04-05,0.22,14
Glass Cleaner,Cleaning Supplies,135.88,2025-02-09,0.23,1
Gummy Bears,Snacks & Sweets,123.05,2025-05-28,0.13,15
Fresh Milk,Dairy & Eggs,139.09,2025-04-26,0.19,20
Toothpaste,Personal Care,150.17,2025-03-17,0.09,4
Infant Formula,Baby Products,55.92,2025-07-01,0.15,19
Scrub Sponge,Cleaning Supplies,15.54,2025-06-08,0.11,3
Biscuits,Snacks & Sweets,14.65,2025-05-17,0.17,20
Deodorant,Personal Care,102.95,2025-07-01,0.1,13
Deodorant,Personal Care,133.48,2025-02-23,0.31,9
Chocolate Bar,Snacks & Sweets,99.12,2025-04-08,0.28,18
White Sugar,Pantry Staples,145.18,2025-04-23,0.07,9
Salted Butter,Dairy & Eggs,128.24,2025-06-08,0.25,18
Teething Gel,Baby Products,195.08,2025-04-21,0.26,19
Organic Eggs,Dairy & Eggs,56.87,2025-02-21,0.14,12
Organic Eggs,Dairy & Eggs,6.6,2025-06-19,0.19,3
Pasta,Pantry Staples,86.51,2025-03-25,0.24,10
Scrub Sponge,Cleaning Supplies,68.61,2025-03-09,0.03,18
Liquid Detergent,Cleaning Supplies,139.33,2025-02-18,0.19,4
Scrub Sponge,Cleaning Supplies,20.93,2025-02-25,0.01,2
White Sugar,Pantry Staples,138.15,2025-04-13,0.04,19
Bleach,Cleaning Supplies,85.97,2025-02-07,0.19,20
Potato Chips,Snacks & Sweets,165.47,2025-02-21,0.05,19
Glass Cleaner,Cleaning Supplies,174.77,2025-05-14,0.17,11
Scrub Sponge,Cleaning Supplies,147.49,2025-06-07,0.23,17
Body Lotion,Personal Care,188.05,2025-04-08,0.24,16
Greek Yogurt,Dairy & Eggs,14.88,2025-03-19,0.16,15
Baby Wipes,Baby Products,35.71,2025-02-09,0.04,9
Body Lotion,Personal Care,39.71,2025-02-09,0.05,18
Teething Gel,Baby Products,56.77,2025-07-07,0.2,1
Fresh Milk,Dairy & Eggs,86.18,2025-06-24,0.14,14
Disinfectant Spray,Cleaning Supplies,181.33,2025-03-13,0.21,8
Shampoo,Personal Care,26.3,2025-05-21,0.17,8
Salted Butter,Dairy & Eggs,156.85,2025-06-09,0.25,1
Infant Formula,Baby Products,185.62,2025-05-26,0.28,14
Canned Beans,Pantry Staples,133.32,2025-06-09,0.12,12
Gummy Bears,Snacks & Sweets,90.64,2025-06-14,0.28,2
Trail Mix,Snacks & Sweets,112.85,2025-06-29,0.11,5
Biscuits,Snacks & Sweets,141.87,2025-04-06,0.33,4
Sunflower Oil,Pantry Staples,117.65,2025-01-30,0.29,13
Chocolate Bar,Snacks & Sweets,45.23,2025-04-01,0.09,10
Baby Wipes,Baby Products,159.96,2025-06-24,0.19,1
Organic Eggs,Dairy & Eggs,188.97,2025-02-28,0.32,19
Diapers,Baby Products,75.55,2025-02-12,0.28,13
Biscuits,Snacks & Sweets,39.0,2025-05-16,0.27,11
Liquid Detergent,Cleaning Supplies,94.76,2025-05-17,0.13,8
Canned Beans,Pantry Staples,143.86,2025-04-28,0.06,13
Diapers,Baby Products,157.14,2025-07-19,0.12,13
Teething Gel,Baby Products,47.94,2025-04-10,0.21,12
Bleach,Cleaning Supplies,157.47,2025-05-08,0.11,1
Body Lotion,Personal Care,70.75,2025-02-16,0.03,14
All-Purpose Flour,Pantry Staples,23.92,2025-01-25,0.16,17
Disinfectant Spray,Cleaning Supplies,130.57,2025-03-08,0.16,3
Chocolate Bar,Snacks & Sweets,17.87,2025-01-23,0.34,5
Glass Cleaner,Cleaning Supplies,51.37,2025-05-09,0.34,18
Disinfectant Spray,Cleaning Supplies,73.63,2025-05-13,0.14,10
