product_name,category,price,date_sold,discount,quantity
Donuts,Bakery,186.69,2025-04-13,0.02,7
Apples,Fresh Produce,10.66,2025-07-17,0.19,9
Bananas,Fresh Produce,290.29,2025-02-20,0.1,1
Chocolate Cake,Bakery,111.69,2025-02-22,0.05,12
Aluminium Foil,Home Essentials,74.21,2025-07-02,0.32,13
Croissant,Bakery,242.76,2025-05-07,0.22,5
Air Freshener,Home Essentials,51.67,2025-04-18,0.02,7
Prawns,Meat & Seafood,267.12,2025-07-22,0.01,3
Carrots,Fresh Produce,253.32,2025-04-28,0.07,2
Salmon Fillet,Meat & Seafood,213.96,2025-01-27,0.09,2
Bananas,Fresh Produce,140.11,2025-01-29,0.02,9
Aluminium Foil,Home Essentials,157.74,2025-07-20,0.03,10
Beef Mince,Meat & Seafood,133.97,2025-04-07,0.22,12
Chicken Breast,Meat & Seafood,64.58,2025-06-09,0.25,8
Prawns,Meat & Seafood,259.45,2025-06-25,0.08,10
Detergent,Home Essentials,12.42,2025-02-25,0.11,5
Green Tea,Beverages,211.03,2025-06-05,0.38,2
Ice Cream Tub,Frozen Foods,165.08,2025-02-09,0.13,10
Apples,Fresh Produce,92.04,2025-05-29,0.33,7
Croissant,Bakery,239.13,2025-02-10,0.2,10
Prawns,Meat & Seafood,218.07,2025-02-22,0.4,4
Cucumbers,Fresh Produce,261.86,2025-06-29,0.26,10
Chicken Breast,Meat & Seafood,158.88,2025-07-09,0.23,5
Croissant,Bakery,89.26,2025-07-08,0.25,10
Chicken Breast,Meat & Seafood,180.21,2025-06-20,0.33,12
Ice Cream Tub,Frozen Foods,289.12,2025-07-10,0.26,2
Carrots,Fresh Produce,176.48,2025-06-24,0.25,9
Aluminium Foil,Home Essentials,138.87,2025-03-30,0.19,13
Pepsi Can,Beverages,90.46,2025-05-29,0.29,2
Tomatoes,Fresh Produce,255.76,2025-03-21,0.38,3
Lamb Chops,Meat & Seafood,91.26,2025-06-28,0.32,14
Tomatoes,Fresh Produce,188.32,2025-05-26,0.01,9
Mop,Home Essentials,230.89,2025-05-15,0.13,13
Chicken Nuggets,Frozen Foods,241.24,2025-05-15,0.17,13
Green Tea,Beverages,220.09,2025-07-04,0.06,6
Air Freshener,Home Essentials,124.99,2025-02-20,0.31,3
Lamb Chops,Meat & Seafood,98.75,2025-04-16,0.2,5
Chicken Breast,Meat & Seafood,95.59,2025-02-21,0.31,7
Prawns,Meat & Seafood,220.73,2025-04-06,0.37,4
Red Bull,Beverages,129.21,2025-02-11,0.33,15
Cucumbers,Fresh Produce,154.51,2025-06-28,0.26,11
Chocolate Cake,Bakery,6.78,2025-07-19,0.26,10
