sales_id,product_id,store_id,date_id,price,discount,quantity,product_name,category,store_name,city,date_sold,day,month,year,quarter,weekday,net_price,revenue
5757001,91,1,2025-03-03,195.02,0.06,11,Bleach,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-03,3,3,2025,1,Monday,183.3188,2016.5068
5757002,542,1,2025-05-21,119.3,0.15,19,Baby Wipes,Baby Products,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-21,21,5,2025,2,Wednesday,101.405,1926.695
5757003,363,1,2025-06-15,159.38,0.23,14,Trail Mix,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-15,15,6,2025,2,Sunday,122.7226,1718.1163999999999
5757004,184,1,2025-06-20,53.43,0.05,12,Disinfectant Spray,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-20,20,6,2025,2,Friday,50.7585,609.102
5757005,5,1,2025-03-28,36.47,0.06,17,Potato Chips,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-03-28,28,3,2025,1,Friday,34.2818,582.7905999999999
5757006,6,1,2025-05-04,174.21,0.23,10,Pasta,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-04,4,5,2025,2,Sunday,134.14170000000001,1341.4170000000001
5757007,97,1,2025-02-21,24.31,0.01,7,Sunflower Oil,Pantry Staples,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-21,21,2,2025,1,Friday,24.066899999999997,168.46829999999997
5757008,98,1,2025-05-21,40.5,0.25,20,Cheddar Cheese,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-21,21,5,2025,2,Wednesday,30.375,607.5
5757009,549,1,2025-06-19,78.63,0.04,18,Chocolate Bar,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-19,19,6,2025,2,Thursday,75.48479999999999,1358.7263999999998
5757010,370,1,2025-06-05,160.39,0.25,14,Liquid Detergent,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-06-05,5,6,2025,2,Thursday,120.29249999999999,1684.0949999999998
5757011,371,1,2025-04-05,56.7,0.22,14,Toothpaste,Personal Care,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-05,5,4,2025,2,Saturday,44.226000000000006,619.1640000000001
5757012,192,1,2025-02-09,135.88,0.23,1,Glass Cleaner,Cleaning Supplies,Lulu Hypermarket Al Gharrafa,Qatar,2025-02-09,9,2,2025,1,Sunday,104.6276,104.6276
5757013,463,1,2025-05-28,123.05,0.13,15,Gummy Bears,Snacks & Sweets,Lulu Hypermarket Al Gharrafa,Qatar,2025-05-28,28,5,2025,2,Wednesday,107.0535,1605.8025
5757014,194,1,2025-04-26,139.09,0.19,20,Fresh Milk,Dairy & Eggs,Lulu Hypermarket Al Gharrafa,Qatar,2025-04-26,26,4,2025,2,Saturday,112.66290000000001,2253.2580000000003
